name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Ten Eight Seven Mastering Ltd,21 Greenford Road,Harrow,,Brent,,100021266373,E09000005,Sudbury,E05013511,51.56050657,-0.331614468,515748.6414999999,185943.57279999927,91
Rogue Recording Studios,Unit 24 Wembley Stadium Business Centre,N End Rd,Wembley,Brent,https://www.roguerecordingstudios.com/, 202001610,E09000005,Wembley Park,E05013516,51.56106,-0.27276369,519826.3816999998,186099.77080000006,91
Audiohaus," Unit 24, Wembley Stadium Business Park",,,Brent,http://www.audiohaus.co.uk/, 202001610,E09000005,Wembley Park,E05013516,51.56106,-0.27276369,519826.3816999998,186099.77080000006,91
The Park Studios (London) ,"Unit 2, Towers Business Park",Carey Way,,Brent,https://www.theparkstudios.com/,202036652,E09000005,Wembley Park,E05013516,51.556154,-0.27121849,519946.3809000002,185556.73090000078,91
Pirate Studios - Wembley ,278 Abbeydale Road,,,Brent,https://pirate.com/en/locations/london-wembley/, 202137355,E09000005,Alperton,E05013496,51.538754,-0.28468273,519058.4006000003,183599.81739999913,91
Hazey Studios,Oxgate Lane,,,Brent,https://www.hazeystudios.com/,See notes ,E09000005,Dollis Hill,E05013500,51.56691,-0.23233,522613.20469999965,186817.19889999926,91
Resident Studios,57a Windsor Road,Willesden,,Brent,www.residentstudios.com,202030058,E09000005,Willesden Green,E05013517,51.549604,-0.230763696,522768.33359999955,184895.36130000092,91
Residents Studio,57a Windsor Road,,,Brent,www.residentstudios.com/,202030059,E09000005,Willesden Green,E05013517,51.550108,-0.23236004,522656.30260000005,184948.73179999925,91
Pirate Studios - Wembley ,278 Abbeydale Road,,,Brent,https://pirate.com/en/locations/london-wembley/,202137355,E09000005,Alperton,E05013496,51.538754,-0.28468273,519058.4006000003,183599.81739999913,91
303 Hire,D link House,1 Abbey Road,,Brent,http://www.303hire.com,202142808,E09000005,Stonebridge,E05013510,51.53812684,-0.274732981,519750.0432000002,183546.28910000063,91
Film Medical,5-7  Commercial Way,,,Brent,http://filmmedical.co.uk,202108303,E09000005,Stonebridge,E05013510,51.53212128,-0.269985321,520095.0864000004,182886.2190000005,91
Prop Hire and Deliver,Popin Business Centre,Unit 20  South Way,,Brent,http://www.prophireanddeliver.com/,202054543,E09000005,Tokyngton,E05013512,51.55443582,-0.273784064,519773.0407999996,185361.46330000088,91
Stockyard Backdrops,Unit A Genesis Business Park,Rainsford Road,,Brent,https://www.prophire-backdrophire.com,202191752,E09000005,Stonebridge,E05013510,51.53317767,-0.276376544,519649.0360000003,182993.2368999999,91
Superhire,D Link House,1 Abbey Road,,Brent,http://www.superhire.com,202142808,E09000005,Stonebridge,E05013510,51.53812684,-0.274732981,519750.0432000002,183546.28910000063,91
