name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Twickenham Stadium,200 Whitton Rd,Twickenham,200 Whitton Rd,Richmond upon Thames,Twickenham Stadium - The Official Home of England Rugby,,E09000027,St Margarets & North Twickenham,E05013785,51.45470001761507,-0.33999002570513315,515434.94290000014,174164.24400000088
"Amaryllis Fleming Concert Hall, Royal College Of Musi",Prince Consort Road,London,Prince Consort Roa,Westminster,www.rcm.ac.uk,,E09000033,Knightsbridge & Belgravia,E05013797,51.49890001464451,-0.17688003367024718,526644.6859999998,179348.7076999992
The Duke's Hall,Marylebone Rd,London,Marylebone Rd,Westminster,www.ram.ac.uk,,E09000033,Regent's Park,E05013805,51.523310002738924,-0.15169995795664637,528323.7791999998,182106.9570000004
Wigmore Hall,36 Wigmore St,London,36 Wigmore St,Westminster,Wigmore Hall (wigmore-hall.org.uk),,E09000033,Marylebone,E05013801,51.51651001546208,-0.1482700007087647,528580.8605000004,181356.80360000022
Recital Hall ,Prince Consort Road,London,Prince Consort Roa,Westminster,Recital Hall | Performances | Rehearsals | Screenings | Presentations (rcm.ac.uk),,E09000033,Knightsbridge & Belgravia,E05013797,51.49890001464451,-0.17688003367024718,526644.6859999998,179348.7076999992
606 Club (The),90 Lots Road,,,Kensington and Chelsea,https://www.606club.co.uk,,E09000020,Chelsea Riverside,E05009391,51.47861999982599,-0.18110996117735814,526407.1262999997,177086.22729999945
Linbury Theatre,"35-36 Bow St, London WC2E 9DD, United Kingdom",London,Bow St,Westminster,Linbury Theatre — Venues — Royal Opera House (roh.org.uk),,E09000033,St James's,E05013806,51.51326001667201,-0.12279999442486433,530357.2536000004,181040.4182999991
The Grosvenor Chapel,24 South Audley Street,,,Westminster,,,E09000033,West End,E05013808,51.50914001746838,-0.15126996684415636,528393.4356000004,180531.98760000058
Aces & Eights,156-158 Fortess Road,Tufnell Park,,Camden,http://www.acesandeightssaloonbar.com/,,E09000007,Kentish Town North,E05013663,51.55623001077011,-0.13880004217069167,529125.4767000005,185790.3839999996
Slim Jim's Liquor Store,112 Upper St,,112 Upper St,Islington,www.slimjimsliquorstore.com,,E09000019,St Mary's & St James',E05013710,51.53786999690751,-0.10270999677886164,531680.2094999999,183813.01270000078
Nightjar,129 City Road,,,Hackney,https://www.barnightjar.com,,E09000012,Hoxton West,E05009378,51.526690004241885,-0.08773002782111955,532751.5395999998,182596.8479999993
Stanley Arts (Formerly Stanley Halls),12 S Norwood Hill,,,Croydon,https://stanleyarts.org/,,E09000008,South Norwood,E05011485,51.4002399841611,-0.0757099596496185,533954.8344,168557.46990000084
Engine Rooms (The),Unit 30 Bow Triangle Business Centre,,,Tower Hamlets,https://www.engineroomsstudios.com,,E09000030,Bromley North,E05009321,51.52419001803052,-0.023140003549125533,537239.2691000002,182437.9514000006
Jago Dalston (The),440 Kingsland Rd,Dalston,,Hackney,https://www.thejagodalston.com,,E09000012,London Fields,E05009381,51.54156000353241,-0.07615998356264492,533510.5835999995,184271.49870000035
Colours,2-4 Hoxton Square,,,Hackney,https://colourshoxton.com/,,E09000012,Hoxton East & Shoreditch,E05009377,51.527790003023426,-0.08159003150614162,533174.2257000003,182730.32840000093
Devonshire Arms (The Dev),33 Kentish Town Road,Camden,,Camden,https://www.thedevnw1.co.uk/,,E09000007,Camden Town,E05013655,51.54103999044288,-0.14275998838406548,528893.8761999998,184094.25469999947
Camden Chapel (The),"Top Floor, The London Irish Centre",50-52 Camden Square,,Camden,N/A,,E09000007,Camden Square,E05013654,51.543580000247744,-0.1321500074783839,529622.3919000002,184395.43400000036
Hampstead Jazz Club,23-25 New End,Hampstead,,Camden,https://www.hampsteadjazzclub.com,,E09000007,Hampstead Town,E05013659,51.558790011173336,-0.17774999118850526,526418.3711000001,186007.10280000046
Fiddler (The),229 Kilburn High Road,,,Brent,https://www.thefiddlerlive.com,,E09000005,Kilburn,E05013503,51.542230011338525,-0.19846997232248403,525027.4918999998,184129.9991999995
Trinity,378-380 Station Rd,Harrow,,Harrow,http://www.trinity-bar.com/,,E09000015,Greenhill,E05013546,51.57963999504354,-0.3338999854723349,515541.7176000001,188067.7452000007
Music Room London,116-118 New Cross Road,,,Lewisham,https://www.musicroomlondon.com,,E09000023,Telegraph Hill,E05013732,51.47605999820307,-0.0480400405024353,535654.8294000002,177039.52690000087
Aaja Music (Formerly Aaja Deptford),"Arch 2, Deptford Market Yard",,,Lewisham,https://www.aajamusic.com/,,E09000023,Deptford,E05013719,51.47816000059563,-0.026090014933902755,537172.7654999997,177313.9319000002
Mycenae House,90 Mycenae Road,Blackheath,,Greenwich,https://www.mycenaehouse.co.uk,,E09000011,Blackheath Westcombe,E05014073,51.480249986432135,0.017039989996042077,540161.2778000003,177627.94889999926
Tola Peckham,Peckham High Street,,,Southwark,https://www.tolapeckham.com,,E09000028,Rye Lane,E05011113,51.47330997928204,-0.07083001489248641,534080.3005999997,176691.75620000064
Sound Lounge (The),216-220 High St,Sutton,,Sutton,https://www.thesoundlounge.org.uk/,,E09000029,Sutton Central,E05013765,51.36629998249537,-0.1943200078374392,525797.5421000002,164573.43329999968
Piano Bar Soho,16 Carlisle Street,,,Westminster,https://www.pianobarsoho.com,,E09000033,West End,E05013808,51.514909994770484,-0.1338600000026912,529585.1715000002,181204.27339999937
Queen's Head (The),144 Stockwell Road,,,Lambeth,https://www.queensheadbrixton.co.uk,,E09000022,Brixton North,E05014096,51.467169984152136,-0.11776003965971885,530838.7209000001,175924.13690000027
Bach Club,A08a Riverside,Bendon Valley,,Wandsworth,https://bach.club/,,E09000032,Wandle,E05014026,51.446580006677735,-0.19290002980640322,525676.3271000003,173503.0792999994
Hoxton Cabin Ltd,"132 Kingsland Rd, London E2 8DP",,,Hackney,,,E09000012,Haggerston,E05009375,51.529729995330804,-0.07740000366182125,533459.1836999999,182953.69490000047
Aaja Deptford Limited,30 Deptford Church Street,,,Lewisham,,,E09000023,Deptford,E05013719,51.47615999453248,-0.022770027318634065,537409.3114999998,177097.75699999928
Night Owl Nightlife Limited,32 Engel Park,,,Barnet,,,E09000003,Mill Hill,E05013645,51.612549987726354,-0.21759998927199542,523510.32070000004,191917.3652999997
Cavendish Arms (The),128 Hartington Rd,Stockwell,,Lambeth,https://www.thecavendisharmsstockwell.co.uk/,,E09000022,Stockwell West & Larkhall,E05014111,51.47646999958266,-0.12746997209236993,530137.8887999998,176941.0259000007
Hemmingford Arms,"158 Hemingford Road, Islington, London, N1 1DF",,,Islington,,,E09000019,Barnsbury,E05013698,51.54315000826763,-0.11321000773396583,530936.9100000001,184381.31680000015
The Libertine,125 Great Suffolk Street,,,Southwark,,,E09000028,Borough & Bankside,E05011095,51.50064998783234,-0.09789995967954371,532121.4051000001,179682.78380000032
The Thirsty Scholar,1 Park Crescent,Marylebone,,Westminster,,,E09000033,West End,E05013808,51.52363999735994,-0.14509996422607785,528780.6907000002,182155.23699999973
Made In Brasil Boteco,48 Chalk Farm Road,,,Camden,,,E09000007,Haverstock,E05013660,51.54282998729477,-0.1483099820464462,528503.9807000002,184283.55140000023
North Pole Bar & Piano Restaurant,131 Greenwich High Road,,,Greenwich,,,E09000011,Greenwich Park,E05014081,51.477379980629514,-0.014819959143098471,537957.6964999996,177248.36280000024
West Five Bar,"Popes Ln, S Ealing Rd, London W5 4NT",,,Ealing,,,E09000009,Ealing Common,E05013521,51.49905000815104,-0.3022999598405592,517939.1556000002,179156.0957999993
Club 33 Limited,9 Wadeson Stree,,,Tower Hamlets,,,E09000030,Bethnal Green,E05009317,51.530924999410594,-0.05160978329423241,535244.4297000002,183133.9645000007
The Box Soho ,11-12 Walker's Ct,,11-12 Walker's Ct,Westminster,https://www.theboxsoho.com/,,E09000033,West End,E05013808,51.5130949993099,-0.13488958942405077,529518.8822999997,181000.62289999984
Union,66 Albert Embankment,,66 Albert Embankme,Lambeth,Union :: Vauxhall :: London (clubunion.co.uk),,E09000022,Vauxhall,E05014117,51.487899981897,-0.12322001180501854,530400.4479,178219.61250000075
Luxx Club,15 Berkeley Street,,,Westminster,,,E09000033,West End,E05013808,51.50832001671047,-0.14338997135640882,528942.5559,180454.64310000092
Club 49,49 Greek Street,,,Westminster,,,E09000033,West End,E05013808,51.51410000837886,-0.1309700025352717,529787.9890000001,181119.31870000064
Medicine Bar & Nightclub,89 Great Eastern Street,,,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,51.525900010642445,-0.08334997962316804,533057.6597999996,182516.95600000024
Raffles Chelsea Ltd,25 Lonsdale Road,,,Richmond upon Thames,,,E09000027,Barnes,E05013774,51.48610998480086,-0.23725002109871374,522488.8065999998,177823.80980000086
M.O.T Venue Ltd,Unit 18,Orion Business Centre Surrey Canal Ro,,Lewisham,,,E09000023,New Cross Gate,E05013728,51.48441000844004,-0.048099970374847,535625.9001000002,177967.92789999954
Scandals,82 Norwood High Street,,,Lambeth,,,E09000022,Knight's Hill,E05014106,51.42961998049171,-0.10136000837533524,532086.0217000004,171778.01060000062
The Penthouse,1 Leicester Square,,,Westminster,,,E09000033,St James's,E05013806,51.51073999789823,-0.13044001557710988,529834.3115999997,180746.62120000087
The Aviary Cave Bar,164 Basin Approach,,,Tower Hamlets,,,E09000030,Limehouse,E05009326,51.51082000270547,-0.03380999877959788,536539.0893999999,180931.26479999907
The Planet Nollywood,319 Camberwell Road,,,Southwark,,,E09000028,Camberwell Green,E05011096,51.47607998909941,-0.09354002846239692,532495.1489000004,176958.45610000007
Pier One,162 Bidder St N,,162 Bidder St N,Newham,Pier One Nightspot | London Nightclub | Afro-Beat Music Nightclub,,E09000025,Canning Town North,E05013906,51.5177100105063,0.0035499863437944254,539110.4364999998,181767.72430000082
Unit 58 Ltd,5 Albert Street,,,Camden,,,E09000007,Regent's Park,E05013668,51.53458999006596,-0.1418000092461539,528978.6692000004,183378.69700000063
Maggie's Club ,329 Fulham Rd,,329 Fulham Rd,Kensington and Chelsea,Maggie's Club - The 80s are back! Chelsea's premier eighties nightclub (maggies-club.com),,E09000020,Stanley,E05009405,51.48638998190538,-0.1800599595634943,526458.5746999998,177952.08080000058
The Roxy,3-5 Rathbone Pl,Soho,3-5 Rathbone Pl,Westminster,http://www.theroxy.co.uk/,,E09000033,West End,E05013808,51.51669001636657,-0.13300999086539028,529639.0948999999,181403.7179000005
Fantazya,69 Albert Embankment,,69 Albert Embankme,Lambeth,Fantazya | Arabic Night Club,,E09000022,Vauxhall,E05014117,51.487899981897,-0.12322001180501854,530400.4479,178219.61250000075
Ligthbox,6 S Lambeth Pl,,6 S Lambeth Pl,Lambeth,,,E09000022,Vauxhall,E05014117,51.485649985886724,-0.1234899935450483,530388.1183000002,177968.93019999936
The Watershed,267 The Broadway,,,Merton,,,E09000024,Abbey,E05013810,51.419420000841846,-0.1949400183587026,525608.9636000004,170479.39200000092
The Cuckoo Club,Swallow Street,,Swallow Street,Westminster,https://www.thecuckooclub.com/,,E09000033,West End,E05013808,51.50990997972161,-0.13789001855521177,529319.7123999996,180641.1439999994
Libertine,2 Winsley Street,,,Westminster,,,E09000033,West End,E05013808,51.515949978534465,-0.13844003945303757,529264.4523,181311.82829999924
Hoxton Arches Events Limited,"Arch 402 Cremer St, London E2 8HD",,,Hackney,,,E09000012,Haggerston,E05009375,51.53036999529741,-0.07665996367209116,533508.6403000001,183026.2156000007
Zoo Bar,13-17 Bear Street,,,Westminster,,,E09000033,St James's,E05013806,51.51090998260449,-0.1289799720489473,529935.1391000003,180768.11250000075
The Guitar Social - Hackney,3 Mare Street,Hackney,3 Mare Street,Hackney,Contact Us - The Guitar Social,,E09000012,London Fields,E05009381,51.534899994056154,-0.05725996655559251,534840.8038999997,183565.5714999996
The Bloomsbury Ballroom,Victoria House,Southampton Row,,Camden,,,E09000007,Bloomsbury,E05013653,51.5191099983988,-0.12224997465522897,530378.7167999996,181691.92009999976
Soho House (Old Compton Street),19-21 Old Compton Street,,,Westminster,,,E09000033,West End,E05013808,51.51331001466681,-0.1307899604382621,529802.7259999998,181031.78959999979
The Book Club,100-106 Leonard Street,,,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,51.524629984465946,-0.08172003529281298,533174.4255999997,182378.6928000003
Boat Live ,66 - 78 White Post Ln,,,Tower Hamlets,,,E09000030,Bow East,E05009319,51.54297998144523,-0.023149977681330994,537182.1050000004,184527.40159999952
Little Baobab Ltd,"Waller House, Mayville Estate",,,Islington,,,E09000019,Mildmay,E05013709,51.550830011782544,-0.08292996352140558,533014.1314000003,185290.01259999909
The Intimate Space at St Mary's Tower,St. Mary's Tower,Hornsey Village,London,Haringey,https://www.intimatespace.co.uk/,,E09000014,Hornsey,E05013593,51.58793160070501,-0.11566845396919123,530638.1639500499,189356.79080674035
The Post Bar,316 High Road,,,Haringey,https://www.thepostbar.co.uk/,,E09000014,,,51.58810374580804,-0.07040863299113052,533772.9414275126,189457.7968213919
