name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Church Hall of the Church of the Holy Apostles,47 Cumberland Street,,,Westminster,http://www.holyapostlespimlico.org,10033527293,E09000033,Pimlico South,E05013803,51.4884578,-0.143355213,529001.0143,178246.0032
"Asylum, Caroline Gardens Chapel",12 Asylum Road,,,Southwark,http://maverickprojects.co.uk/asylum/weddings/,2.00003E+11,E09000028,Old Kent Road,E05011109,51.47893357,-0.060530333,534779.0134,177336.0027
Kings Place,90 York Way,,,Islington,http://www.kingsplace.co.uk,10012790864,E09000019,Caledonian,E05013700,51.53499869,-0.121548397,530382.0121,183460.0034
The Vaults,7AD Leake St,,,Lambeth,https://www.thevaults.london,10091121720,E09000022,Waterloo & South Bank,E05014118,51.50197488,-0.115285479,530910.9822,179798.9024
Landmark Arts Centre,1 Cloister Close,,,Richmond upon Thames,http://www.landmarkartscentre.org,10024344794,E09000027,Teddington,E05013788,51.4280867,-0.324626903,516570.014,171229.002
The Bussey Building AKA The CLF Art Cafe,133 Rye Lane,,,Southwark,https://www.clfartcafe.org,2.00003E+11,E09000028,Rye Lane,E05011113,51.469934,-0.067363425,534330.9516,176322.7024
Adelphi Theatre,Strand,,,Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/adelphi/,10033579363,E09000033,St James's,E05013806,51.51006,-0.12287,530361.5282,180684.449
Apollo Theatre,31 Shaftesbury Avenue,,,Westminster,https://www.nimaxtheatres.com/apollo-theatre/,10033548808,E09000033,West End,E05013808,51.5115007,-0.13338199,529628.0121,180826.0017
Bridewell Theatre,Fleet Street,,,City of London,http://www.sbf.org.uk/theatre,95511225,E09000001,Castle Baynard,E05009297,51.51349205,-0.105023493,531590.0113,181098.0029
Shakespeare's Globe Theatre,21 New Globe Walk,,,Southwark,http://www.shakespearesglobe.com,2.00003E+11,E09000028,Borough & Bankside,E05011095,51.50811239,-0.09657156,532192.0118,180515.0004
Rich Mix,35-47 Bethnal Green Road,,,Tower Hamlets,https://www.richmix.org.uk,6150258,E09000030,Weavers,E05009335,51.52435934,-0.073275203,533761.0116,182364.0029
Putney Arts Theatre,Ravenna Rd,,,Wandsworth,http://www.putneyartstheatre.org.uk,1.00023E+11,E09000032,West Putney,E05014030,51.46128657,-0.220223039,523738.0123,175092.0029
"The Michaelis Building, Froebel College, University o",Froebel College,University of Roehampton,Froebel Lane,Wandsworth,,10033238647,E09000032,Roehampton,E05014017,51.45610039,-0.247269507,521873.0121,174470.0027
Dragon Hall ,17 Stukeley Street,,,Camden,https://www.dragonhall.org.uk/main-hall/,5128852,E09000007,Holborn & Covent Garden,E05013662,51.5166264,-0.122665013,530357.0115,181415.0031
Westminster Kingsway College Theatre,211 Gray's Inn Road,,,Camden,http://www.westking.ac.uk/subject/performing-arts/,5155126,E09000007,King's Cross,E05013666,51.52690563,-0.118767654,530598.0119,182565.0029
Poplar Union,2 Cotall St,,,Tower Hamlets,https://poplarunion.com,6194894,E09000030,Lansbury,E05009325,51.51559973,-0.02298261,537276.0118,181483.0011
"The Pit, Barbican Centre",1C Silk St,,,City of London,http://www.barbican.org.uk/theatre,95512046,E09000001,Cripplegate,E05009302,51.51996227,-0.094104542,532328.8726,181837.1679
Soho Theatre,21 Dean Street,,,Westminster,http://www.sohotheatre.com,1.00023E+11,E09000033,West End,E05013808,51.51450305,-0.132740339,529664.0119,181161.002
