name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Peckham Levels,"95A Rye Ln, London SE15 4ST",,,Southwark,https://peckhamlevels.org,2.00E+11,E09000028,Rye Lane,E05011113,51.470741,-0.068232581,534268.2198,176410.8463
Perseverance Works,25 Hackney Road London E2 7NX,,,Hackney,http://www.perseveranceworks.co.uk/,no UPRN,E09000012,Hoxton East & Shoreditch,E05009377,51.52777,-0.07675,533509.9996,182736.9259
Rathy Jewellers Limited,28 Ealing Road,Wembley,,Brent,https://www.rathyjewellers.com/,202102528,E09000005,Wembley Central,E05013514,51.5505984,-0.29735619,518148.8407,184896.456
Regent Studios,"8 Andrews Rd, London, England, E8 4QN, United King",,,Hackney,,1.00E+11,E09000012,London Fields,E05009381,51.5355,-0.060243345,534632.1325,183626.798
Rowan Davis Jewellery Ltd,1a Duke Street,,,Westminster,http://www.rowandavis.com,1.00E+11,E09000033,West End,E05013808,51.51587561,-0.150700793,528413.9947,181281.9925
Sharad's,4 St. Stephens Parade,Green Street,,Newham,,10012838696,E09000025,Green Street East,E05013913,51.53744669,0.0358235,541288.4814,184024.3094
Shimell and Madden,"Unit 7, culford house, 1-7 Orsman Rd, Whitmore Est",,,Hackney,https://shimellandmadden.com,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.536113,-0.077808952,533412.1597,183662.7592
Soho Works Shoreditch,"The Tea Building, 56 Shoreditch High Street, E1 6J",,,Hackney,https://www.sohohouse.com/soho-works/shoreditch,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.524072,-0.076715943,533523.1766,182325.765
Solange Azagury Limited,"27 Chilworth Street, London, W2 3HA",,,Westminster,https://solange.co.uk/,1.00E+11,E09000033,Lancaster Gate,E05013798,51.51468,-0.18074,526333.1351,181096.8039
Stratford Workshops,"Burford Rd, London E15 2SP",,,Newham,,10009017863,E09000025,Stratford,E05013924,51.537326,-0.000294467,538784.0945,183941.7319
Tarra Rosenbaum Limited,"77 Tower Bridge Rd, London SE1 4TW",,,Southwark,https://tarrarosenbaum.com/,2.00E+11,E09000028,Chaucer,E05011098,51.49609,-0.08294,533172.9748,179202.7978
The Forge Space,59 Leather Lane,,,Camden,https://theforgespace.com,5143026,E09000007,Holborn & Covent Garden,E05013662,51.520708,-0.10988124,531232.2234,181891.7054
The Goldsmiths' Centre,"42 Britton St, London EC1M 5AD",,,Islington,https://www.goldsmiths-centre.org,10090267211,E09000019,Clerkenwell,E05013702,51.520973,-0.10289363,531716.2167,181933.715
